gene_name	WT	cKO	WT_cpm	cKO_cpm	log2FC
Ly86	94	131	8.472576523139416	4.132364362237381	-0.8841332940348702
Pate2	83	464	7.481104802346508	14.63677148151256	0.882618553951898
Chat	65	369	5.858696531958108	11.640018699737357	0.8819922687536167
Isl1	5	53	0.4506689639967775	1.6718726045693224	0.8811328808868257
8430419K02Rik	155	842	13.970737883900103	26.560693076365464	0.8804668370525998
Sh3bp2	109	155	9.82458341512975	4.889438749212169	-0.8781094437993309
Tdrd6	11	84	0.9914717207929106	2.649760354411756	0.8739667454733269
Gm47578	12	89	1.0816055135922662	2.8074841850315035	0.8711413558002028
Gm15545	38	45	3.4250841263755096	1.4195144755777267	-0.8709873122308509
Gm26671	8	68	0.721070342394844	2.145044096428565	0.869774181750388
Gm37111	50	64	4.506689639967775	2.018865031932767	-0.8671790417274049
Pm20d2	19	125	1.7125420631877548	3.943095765493685	0.8657693474305603
Mcm10	24	151	2.1632110271845324	4.763259684716372	0.8654952215551895
St8sia3os	93	510	8.382442730340061	16.087830723214235	0.864933776312373
Creld2	69	94	6.21923170315553	2.965208015651251	-0.8644487564369053
Abca13	15	104	1.3520068919903325	3.280655676890746	0.8639395064866944
Acss3	214	322	19.288631659062077	10.157414691911733	-0.8626687916646957
Hsph1	592	916	53.35920533721846	28.895005769537725	-0.8626198765552067
Nfkb2	2	36	0.180267585598711	1.1356115804621814	0.8555352984398497
Mal	1109	1738	99.95837621448526	54.8248035234242	-0.8547824381535551
Gm20683	14	8	1.261873099190977	0.2523581289915959	-0.8528708104880321
Gm17120	3	41	0.27040137839806655	1.2933354110819286	0.8521629883474044
Gm53042	3	41	0.27040137839806655	1.2933354110819286	0.8521629883474044
Ddx60	35	206	3.154682747977443	6.498221821533593	0.8518101889671373
Gm45644	4	46	0.360535171197422	1.451059241701676	0.8492311021477047
Gm14027	11	82	0.9914717207929106	2.5866708221638572	0.8488103502059201
Man1a	2962	4686	266.976294271691	147.81877405682727	-0.8485488431710869
ENSMUSG00000121411	19	123	1.7125420631877548	3.880006233245786	0.8472374810526707
Blnk	34	40	3.064548955178087	1.2617906449579792	-0.8456298673717922
9630002D21Rik	96	518	8.65284410873813	16.34018885220583	0.8450936260446353
Fbxw10	21	133	1.8928096487864656	4.195453894485281	0.8447783990327585
Pdk4	32	37	2.884281369579376	1.1671563465861308	-0.8418444720041285
Tex15	35	204	3.154682747977443	6.435132289285694	0.8396200947456538
Rbm8a2	10	76	0.901337927993555	2.3974022254201603	0.8374170645588394
Gm47033	1	30	0.0901337927993555	0.9463429837184844	0.8362607548882844
Zfp365	336	524	30.28495438058345	16.529457448949525	-0.8356876561183524
Tex16	13	91	1.1717393063916217	2.870573717279403	0.8336964925108029
